ticket,site,row,section,title,note,url,distinctPricesCount,maxTimestampmillis
stubhub-5502590076,stubhub,M,135,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5502590076,9,1662921037695
seatgeek-agktE6l39r9,seatgeek,K,333,Section 333 Row K,Section 333 Row K,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=agktE6l39r9,3,1662861991314
seatgeek-jDvsEolVq9K,seatgeek,H,55,Section 55 Row H,Section 55 Row H,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=jDvsEolVq9K,17,1662921783483
seatgeek-jDvsEolY9VG,seatgeek,G,17,Section 17 Row G,Section 17 Row G,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=jDvsEolY9VG,3,1662863508793
vividseats-VB5772505932,vividseats,C,111,Loge 111,,https://www.vividseats.com//production/3736730?showDetails=VB5772505932&qty=1,5,1662911608655
seatgeek-X03tO0KBJ08,seatgeek,H,315,Section 315 Row H,Section 315 Row H,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=X03tO0KBJ08,6,1662921998582
stubhub-5502771179,stubhub,N,129,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5502771179,4,1662913812904
vividseats-VB5772001273,vividseats,E,320,Promenade 320,,https://www.vividseats.com//production/3736730?showDetails=VB5772001273&qty=1,1,1662861991314
stubhub-5501925031,stubhub,K,123,Loge,,https://www.stubhub.com/us-open-tennis-flushing-tickets-9-11-2022/event/105016693/?listingId=5501925031,1,1662863508793
seatgeek-6mOhKZYLmX3,seatgeek,D,306,Section 306 Row D,Section 306 Row D,https://seatgeek.com/us-open-tennis-session-25-mens-final-womens-doubles-final-tickets/tennis/2022-09-11-1-pm/r/5511062?listing=6mOhKZYLmX3,3,1662863508793
